GAME_DETAILS_ID,GAME_ID,TEAM_ID,PLAYER_ID,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
204,21900888,1610612757,1629117,,,18:12,1,4,0,0,2,0,0,0,0,2,5,7,1,2,1,1,2,2,-7
205,21900888,1610612757,1628403,,,10:06,1,1,1,0,0,0,0,0,0,0,2,2,1,1,0,2,3,2,1
206,21900888,1610612757,1629642,,,10:11,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
207,21900888,1610612757,1626209,,,12:37,4,5,1,0,1,0,0,0,0,1,3,4,2,0,0,1,1,8,5
208,21900888,1610612757,203081,,DND - Injury/Illness                    ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,21900888,1610612757,203994,,DND - Injury/Illness                    ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,21900888,1610612737,1629629,F,,24:16,3,9,333,2,5,0,0,0,0,0,3,3,2,0,0,2,0,8,16
211,21900888,1610612737,1629631,F,,38:15,8,12,667,6,9,667,0,0,0,0,4,4,0,0,1,3,3,22,12
212,21900888,1610612737,1628381,C,,36:08,9,14,643,3,5,1,3,3,1,2,8,10,4,1,2,3,4,24,7
213,21900888,1610612737,1628989,G,,35:01,6,10,1,3,7,429,4,4,1,1,3,4,8,3,1,1,3,19,3
214,21900888,1610612737,1629027,G,,34:38,7,18,389,1,8,125,10,10,1,1,3,4,15,0,0,2,2,25,8
215,21900888,1610612737,1628981,,,17:07,5,5,1,0,0,0,1,3,333,0,2,2,1,0,1,2,4,11,-4
